"Tweets","Sentiments"
"Alexa",0
"If youve got a vacation property take a look at the future of AI and smart speakers in the vacation indust",2
"i tell to play me kpop all the time every playlist she recommends for me is imagine dragons wtf up with that",2
"with repost

One of the last things I did on this show goodbye Once I grew with you and won",2
"with repost

One of the last things I did on this show goodbye Once I grew with you and won",2
"Precoffee Sunday morning coordinated AM attack 

Yes Ok Gerbil Sit still now wtf is a gerbil 

I j",2
"sRadio UB Talking Heads Road to Nowhere on UAUBUC edUAUBCedUBEUBCedUAUBDedUBUBBedUAUBCedUBEUedUAUBDedUBUBF s ",0
"Has anyone elses started randomly playing music in the middle of the night

Theres no activity shown in t",2
"sRadio UB Sheena Easton For Your Eyes Only on UAUBUC edUAUBCedUBEUBCedUAUBDedUBUBBedUAUBCedUBEUedUAUBDedUBUBF s ",0
"UB Talking Heads Road to Nowhere on UAUBUC edUAUBCedUBEUBCedUAUBDedUBUBBedUAUBCedUBEUedUAUBDedUBUBF s ",0
"Alexa how do I heal heartburn
 get vaporu edUAUBDedUBU 
If was edUAUBCedUBUBedUAUBCedUBUBD 
 
",1
"Babysitters are enjoying the skill I made to help them take care of my little one",2
"UB Fad Gadget Fireside Favourite on UAUBUC edUAUBCedUBEUBCedUAUBDedUBUBBedUAUBCedUBEUedUAUBDedUBUBF s ",1
"At Sarikaya announcing Brain getting a MEMORY feature 
Photos via fs",0
"UB Sheena Easton For Your Eyes Only on UAUBUC edUAUBCedUBEUBCedUAUBDedUBUBBedUAUBCedUBEUedUAUBDedUBUBF s ",0
"My review of the Mission Battery Shell for the nd gen Amazon Echo demontrates how you can finally unplug your favo",2
"Ultrasonic Attacks Can Trigger Alexa amp Siri With Hidden Commands Raise Serious Security Risks",1
"Out of nowhere our  started telling a story 

No one in the House was even near her or activated h",0
"Hey what are you doing to our childrens brains ",2
"If I had an Echo or Show would tell to play and loop the seasons",0
"Win a Fire HD Tablet

Its my firstever sweepstakes giveaway No gimmicks

Please share amp your friends will love yo",2
"Whos been waiting for this to happen ",0
"agrees that the official language is English and is",2
"Compliments to your humor as that is the headlining tweet with attribution on todays",2
"You sound funny and that is the featured tweet with attribution on todays audi",2
"combine with new integration you will get better data for ML analyse Model",2
"I just asked whats the weather today as Im getting ready to go out and it felt so natural like dejavu I",2
"The latest The GEO Jobe Geospatial EDU Daily Thanks to ",2
"nothing like an unessesary advert in the middle off viewing oh and sponsored by 
 ffs",2
"How putting my family last affected my side hustle ",0
"Has the name Alexa for babies dropped in popularity You know in order to avoid triggering Amazons spy machine",2
"Most owners dont use their devices to online and more than half say its because of a lack of",1
"and her may spy on me all they like She is invaluable to me Speak and play music to a painter i",2
"The Ultimate Guide
 
 ",2
"Tech Talk in Cambridge MA tonight Big crowd as Currier McEwen from Alexa information team explains how Alexa works",2
"At IBM Researchers Are Working To Make Robots Engaging Conversationalists via on",2
"scientist provides introduction to and in this presen",2
"This weekends courses


Handson opportunity to work on both an smm f",2
"The latest The GEO Jobe Geospatial EDU Daily Thanks to ",2
"Checking a shot on the as I film with mmDoP  ",1
"Think Im late to the party",1
"New Feature Alert Amazon Brief Mode assistant ",2
"Im dead edUAUBDedUBU
   ",1
"New Feature Alert Amazon Brief Mode assistant ",2
"Watching tale  What crass advertising for  personal view",1
