"Tweets","Sentiments"
"How smart are 
 and in answering your questions",2
"Google Assistant is going to be more friendly for home users The voice assistant will be getting local discovery d",2
"creates highfidelity speech samples x faster gtgt gtgt ",2
"Amazon Alexa supports smart home devices way more than Google Assistants",2
"creates highfidelity speech samples x faster gtgt gtgt ",2
"Best wireless yet Weve tested two new Google Assistant smart speakers five new portab",2
"From  Big jump for  China growing fast

   ",2
"future",0
"Dont know what did but has been pretty awful lately ignoring commands Home",0
"Two events coming up

Build Actions for Your Community Join us at  

So",2
"has awarded a young researcher for disclosing a severe vulnerability in the",1
"Heypo com if youve been waiting for the right time to come out of mode with your",2
"future",0
"future",0
"future",0
"future",0
"",0
"Open your on Android or via the iOS app and say Hey Google talk to my special guest to interview Alden E",2
"Ppl cant be trusted Give the launch codes to or Imagine that scenario",2
"Announcing Google Extended 
 Akoko will Host you this saturday for another exciting Google IO edition

Featuring I",2
"The Intersection Of amp  
",0
"Would love to see a demo of this in action It looks to be a clever bit of tech especially as itll work in seven",2
"Announcing Google Extended 
 Akoko will Host you this saturday for another exciting Google IO edition

Featuring I",2
"Earlier this month Google announced a new and improved way of targeting people who search for recipes By adding the correct",2
"Earlier this month Google announced a new and improved way of targeting people who search for recipes By adding the correct",2
"Announcing Google Extended 
 Akoko will Host you this saturday for another exciting Google IO edition

Featuring I",2
"all assistant  

  ",0
"Announcing Google Extended 
 Akoko will Host you this saturday for another exciting Google IO edition

Fe",2
"assistant  

 ",0
"Googles AI sounds like a human on the phone should we be worried



",1
"Googles AI sounds like a human on the phone should we be worried via 

",1
"Why it matters that and finally have male voices via 
",2
"creates highfidelity speech samples x faster gtgt gtgt ",2
"creates highfidelity speech samples x faster gtgt gtgt ",2
"Want to find out which actions for are available Browse",2
"We live in a great time with in our lives",2
"creates highfidelity speech samples x faster gtgt gtgt ",2
"Hello Google get me the number of Driver Suvidha pl

I got the number and called and then said

Thank you

This is",2
"has awarded a young researcher for disclosing a severe vulnerability in the",1
"Hi any plans to support M Pro with",2
"Take a to the Insides Of OfficeThe Coolest Office Ever one of the Offices you have ever expe",2
"Hello Google get me the number of Driver Suvidha pl

I got the number and called and then said

Thank you

Th",2
"Take a look at the in action

via 

 M ",2
"Take a look at the in action

via 

 M ",2
"Google Assistant can now help you break up with your girlfriend 

This is the funniest video on the internet right now edUAUBDedUBU",2
"Samsung amp Google Engineering disease Intransigence helps Apple and the Chinese",1
"Google Assistant can now help you break up with your girlfriend 

This is the funniest video on the internet right now edUAUBDedUBU",2
"Heres a list of cool things that can do for you while you are driving",2
"Google Assistant and Alexa have a new competitor
Apple hires John Giannandrea the one who created Google Assistan",2
"Take a look at the in action

via 

 M",2
"How do you say goodbye to a vampire
So long sucker
",1
"Things You Get Inside Google OfficeThe Coolest Office Ever
 ",2
"Things You Get Inside Google OfficeThe Coolest Office Ever
 ",2
"aiPH Introduces for amp 

Read More",0
"creates highfidelity speech samples x faster gtgt gtgt ",2
"Best  Announcements for App Development Industry",2
"Men will be Men",0
"Members of DC 

Join us the evening of May th for our next event

Alexa GoogleAssistant and Cortana",2
"Announcing  for  
Click the link below to launch the app",1
"Open your on Android or via the iOS app and say Hey Google talk to my special guest to interview Alden E",2
"Routines",0
"From  Big jump for  China growing fast

  ",2
"creates highfidelity speech samples x faster gtgt gtgt ",2
"on with an updated roundup of smartness from corp

",0
"DIGITAL will alert people that Duplex calls are being recorded",1
"
 Lets You Interview  and Others from A Star Wars Story",1
"Makes Appointments for You ",0
"Did  fake their",1
"Its time to get more done on the go with new features coming to U htt",2
"Now able to connect with over devices for the edUAUBCedUBFUA is here to help you turn your house into a smart home U",2
"How do you say thBeWithYou in Wookiee Your knows U",0
"thBeWithYouat the movies Buying tickets with the couldnt be easiertake it from this Han Solo fan",0
"One of the biggest areas were tackling with AI is the Our vision for the perfect assistant is that it woul",2
"To personalize your even further weve used AI to create six new voices that will start rolling out todaywit",2
"toGoogle More screenshots",0
"creates highfidelity speech samples x faster gtgt gtgt ",2
"Open your on Android or via the iOS app and say Hey Google talk to my special guest to interview Alden E",2
"creates highfidelity speech samples x faster gtgt gtgt ",2
"Stop amp Try This
   
",1
"Stop amp Try This
   
",1
"Stop amp Try This
   
",1
"Voice First Application as a Brand ",0
"IoT Rule your home with custom voice commands for and  lets you create custom voice commands f",2
"Open your on Android or via the iOS app and say Hey Google talk to my special guest to interview Alden E",2
"Open your on Android or via the iOS app and say Hey Google talk to my special guest to interview Alden E",2
"Open your on Android or via the iOS app and say Hey Google talk to my special guest to interview Alden E",2
"Open your on Android or via the iOS app and say Hey Google talk to my special guest to interview Alden E",2
"Open your on Android or via the iOS app and say Hey Google talk to my special guest to interview Alden E",2
"Know what top announcements Google made at the first day of IO developer conference
 ",1
"Open your on Android or via the iOS app and say Hey Google talk to my special guest to interview Alden E",2
"Know what top announcements Google made at the first day of IO developer conference
",1
"Voice of Healthcare Summit Tuesday Aug  



",0
"The future of Android at IO",0
"Voice of Healthcare Summit Tuesday Aug  



",0
"Rule your home with custom voice commands for and  lets you create custom voice comm",2
"A brand new Action available on which tells you the price of PiedPiperCoin",2
"creates highfidelity speech samples x faster gtgt gtgt ",2
"Did  fake their",1
"The wars blaze on with acquiring edUAUBDedUBU

Microsoft Acquires Semantic Machines for Conv",1
"Did  fake their",1
"Its hard to believe can interact with people this naturally but will be able to make actual phone cal",2
"Google Assistant is going to be more friendly for home users The voice assistant will be getting local discovery d",2
"Its hard to believe can interact with people this naturally but will be able to make actual p",2
"LOTS of feature updates for today How about integrating calendar to devices and",0
"Googles Home Max is now available in Canada

And if you were on the Google Stores waitlist Google is offering a",2
"Making Home LIVE edUAUBDedUBUE",0
"You know you had a long week when you try to get Google assist to use your insulin pump d",2
"Get ready to innovate entrepreneurs is on the move to give money to travel gaming amp vertical industry st",2
"Just hired a PA",0
"Chicago Google Developers Event Build Actions for Your Community  c",2
"Voice of Healthcare Summit Tuesday Aug  



",0
" can talk to humans and schedule appointments Analyst explains what this means for the",2
"With the theyre already great Soon theyll have Alexa built right in A software update is coming for the he",2
"Voice of Healthcare Summit Tuesday Aug  



",0
"The Ministry of Truth isnt interested in your assessment Besides already knew youd tweet t",2
"Voice of Healthcare Summit Tuesday Aug  



",0
"Voice of Healthcare Summit Tuesday Aug  

",0
"I settled on voice for my  not sure what it says about me but my assistant has to speak in a f",0
"can talk to humans and schedule appointments Analyst explains what this means for the",2
"like AI reservation system except its an actual humanoid that just sits and waits for you for",2
"Open your on Android or via the iOS app and say Hey Google talk to my special guest to interview Alden E",2
"Open your on Android or via the iOS app and say Hey Google talk to my special guest to interview Alden E",2
"Chicago Google Developers Event Build Actions for Your Community",2
"Open your on Android or via the iOS app and say Hey Google talk to my special guest to interview Alden E",2
"Open your on Android or via the iOS app and say Hey Google talk to my special guest to interview Alden E",2
"creates highfidelity speech samples x faster gtgt gtgt ",2
"creates highfidelity speech samples x faster gtgt gtgt ",2
"technology such as  are power tools that allow the user to define what they",2
"Google App has a hidden Podcast Player This is how to use it 
",1
"Open your on Android or via the iOS app and say Hey Google talk to my special guest to interview Alden E",2
"Open your on Android or via the iOS app and say Hey Google talk to my special guest to interview Alden E",2
