"Tweets","Sentiments"
"Apple switches from Bing to Google for search results
 ",2
"Siri at WWDC what it needs to be smarter",2
"Siri sucks balls out of times when I ask play podcast to resume a podcast it either plays musi",1
"s could decline phone calls with contextsensitive text responses in the future http",1
"This morning I let out one of those Chewbacca farts with my iPhone in my back pocket Siri asked me To whom wou",0
"How smart are 
 and in answering your questions",2
"Apple is exploring ways that could play a helpful role in explaining why you had to decline a phone call",2
"Just let pick music on the way to work She said you might enjoy some And for once Siri was right",2
"Alexa amp Cortana join forces to sort you out Apples Siri could decline your incoming phone calls",1
"So strikes againagain I asked for Greatest Hits by Queen this time I get Summertime by Fresh Prince amp J",2
"Bit of a problem I dont have or or any of the other interactive speaker systems",1
"  is of course iCloud has always been a mess when it comes to co",1
"Daughter theres a lady in your phone Referring to Siri
Cascading questions where does she live in your phone",2
"s could decline phone calls with contextsensitive text responses in the future",1
"Taking the With the",0
"Alexa amp Cortana join forces to sort you out",2
"I find Siri getting more and more efficient for setting reminders especially when I link my reminders with people",2
"Im enthusiastic about voice assistants but this is one example of why healthcare may be slow to adopt tools like",2
"Why are digital assistants women edUAUBDedUBUA At least my can have a male voice ",0
"Today its been years since the Brooklyn Bridge opened It remains a marvel of engineering and construction to",2
"So helpful  you really do suck could of googled it for me",0
"s could decline phone calls with contextsensitive text responses in the future http",1
" 

An interview with from Technoutopia on Is voice really the future",0
"s could decline phone calls with contextsensitive text responses in the future",1
"s could decline phone calls with contextsensitive text responses in the future http",1
"s could decline phone calls with contextsensitive text responses in the future",1
"From  Big jump for  China growing fast

   ",2
"s could decline phone calls with contextsensitive text responses in the future http",1
"s could decline phone calls with contextsensitive text responses in the future",1
"Alexa and Siri Can Hear This Hidden Command You Cant

   ",1
"Are you talking to tech yet What do you use  for Do you have a top bit of technology",2
"Combine a headliner and content and what do you get Susan Bennett the original voice of",2
"Are you talking to tech yet What do you use  for Do you have a top bit of technology",2
"So helpful  you really do suck could of googled it for me",0
"AI is getting smarter every day says we are unleashing the demon Is AI going to take over",0
"cook
Can you please give me a valid explanation on why I cant find an answer to this about Palestine",2
" 
Can you please give me a valid explanation on why I cant find an answer to this",2
"at WWDC what it needs to be smarter",2
"Would love to see a demo of this in action It looks to be a clever bit of tech especially as itll work in seven",2
"Fewer than HomePod shipments in first quarter",0
"all assistant  

  ",0
"So helpful  you really do suck could of googled it for me",0
"So helpful  you really do suck could of googled it for me",0
"Lets hope that the poaching of Googles chief John Giannandrea can actually make useful Heres what I found on",2
"When you hit the Siri button by mistake

Siri How may I help you

Me You cant bugger off

edUAUBDedUBUF

",1
"assistant  

 ",0
"WOW OK OK",2
"Banks Robots in the edUAUBDedUBUedUAUBEedUBUedUAUBDedUBUBedUAUBEedUBUBUDUUFEF  Explores Physics of Acrobatics with Stickman Robot",0
"Banks Robots in the edUAUBDedUBUedUAUBEedUBUedUAUBDedUBUBedUAUBEedUBUBUDUUFEF  Explores Physics of Acrobatics with Stickman Robot",0
"Robots in the edUAUBDedUBUedUAUBEedUBUedUAUBDedUBUBedUAUBEedUBUBUDUUFEF  Explores Physics of Acrobatics with Stickman Robot",0
" is jumping the gun on Lets see how it works out The Charter is flawed",1
"Hes literally an employee of the company How are you not able parse this",0
"Apple launches Data amp Privacy Portal in response to GDPR

    ",0
"Amazon Map Tracking gives you live updates on exactly where your Amazon package is 

  ",0
"We applaud Apple for not collecting our data but laugh about them when they dont have the data to make amazing st cent",2
"Worldwide smart speaker market Q Google growth rate beats Amazon



 ",2
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
